a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
コーポ佐野,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 車6分(2.4km)   , 築46年 2階建 ,             1階,4.1万円,-,4.1万円,-,3K,50.5m2
バス 渡橋北 2階建 築29年,島根県出雲市渡橋町, バス/渡橋北 歩5分   , 築29年 2階建 ,             2階,4.1万円,3000円,-,-,1LDK,38.07m2
ＪＲ山陰本線 出雲市駅 2階建 築29年,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 車5分(1.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.3km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車7分(2.7km) , 築29年 2階建 ,             2階,4.1万円,2800円,-,-,2DK,40.57m2
メゾン・ド・マルワII,島根県出雲市下横町, ＪＲ山陰本線/西出雲駅 歩48分 一畑電車大社線/浜山公園北口駅 歩58分  , 築28年 2階建 ,             2階,4.3万円,-,8.6万円,4.3万円,2DK,46.46m2
REDIDENCEビオラＡ・Ｂ,島根県出雲市大津朝倉３, ＪＲ山陰本線/出雲市駅 車5分(2.1km)   , 築25年 2階建 ,             1階,4.3万円,-,-,4.3万円,1K,26.28m2
REDIDENCEビオラＡ・Ｂ,島根県出雲市大津朝倉３, ＪＲ山陰本線/出雲市駅 車5分(2.1km)   , 築25年 2階建 ,             1階,4.3万円,-,-,4.3万円,1K,26.28m2
ルネッサンスI,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 車5分(2.1km)   , 築25年 2階建 ,             1階,4.3万円,-,-,4.3万円,1K,23.18m2
ＪＲ山陰本線 出雲市駅 2階建 築30年,島根県出雲市高松町, ＪＲ山陰本線/出雲市駅 車9分(3.6km) 一畑電気鉄道松江線/電鉄出雲市駅 車10分(3.9km) ＪＲ山陰本線/西出雲駅 車12分(4.5km) , 築30年 2階建 ,             1階,3.9万円,3200円,7.8万円,-,2DK,40.58m2
ハイツプリーマ,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 車8分(3.2km)   , 築24年 2階建 ,             2階,4万円,-,-,4万円,1K,25.92m2
ハイツプリーマ,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 車8分(3.2km)   , 築24年 2階建 ,             1階,4万円,-,-,4万円,1K,25.92m2
ハイツプリーマ,島根県出雲市矢野町, ＪＲ山陰本線/出雲市駅 車8分(3.2km)   , 築24年 2階建 ,             1階,4万円,-,-,4万円,1K,25.92m2
スターハイツ,島根県出雲市塩冶神前４, ＪＲ山陰本線/出雲市駅 歩20分 一畑電気鉄道松江線/電鉄出雲市駅 歩20分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩24分 , 築31年 2階建 ,             2階,4万円,-,4万円,4万円,1K,28.68m2
スターハイツ,島根県出雲市塩冶神前４, ＪＲ山陰本線/出雲市駅 歩20分 一畑電気鉄道松江線/電鉄出雲市駅 歩20分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩24分 , 築31年 2階建 ,             1階,4万円,-,4万円,4万円,1K,28.68m2
スターハイツ,島根県出雲市塩冶神前４, ＪＲ山陰本線/出雲市駅 歩20分 一畑電気鉄道松江線/電鉄出雲市駅 歩20分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩24分 , 築31年 2階建 ,             1階,4万円,-,4万円,4万円,1K,28.68m2
南ハイツ,島根県出雲市塩冶町南町２, ＪＲ山陰本線/出雲市駅 車10分(3.0km)   , 築38年 2階建 ,             2階,4万円,-,8万円,4万円,2DK,38.88m2
メゾンミハラ,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩20分 ＪＲ山陰本線/出雲市駅 歩21分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩31分 , 築37年 3階建 ,             2階,4.1万円,-,-,4.1万円,1K,25.76m2
メゾンミハラ,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩20分 ＪＲ山陰本線/出雲市駅 歩21分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩31分 , 築37年 3階建 ,             1階,4.1万円,-,-,4.1万円,1K,25.76m2
ハイツアスター,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩13分 ＪＲ山陰本線/出雲市駅 歩26分  , 築33年 2階建 ,             2階,3.7万円,-,7.4万円,3.7万円,2DK,37.77m2
エクシードハイツ,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩7分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩19分 一畑電気鉄道松江線/電鉄出雲市駅 歩28分 , 築24年 2階建 ,             2階,3.9万円,-,-,-,1DK,28.26m2
ルミナスI　1号棟,島根県出雲市渡橋町渡橋, ＪＲ山陰本線/出雲市駅 バス22分 (バス停)小山町 歩6分   , 築29年 2階建 ,             2階,4.1万円,3000円,-,-,1LDK,38.07m2
グラディールセントラルIII,島根県出雲市里方町, ＪＲ山陰本線/出雲市駅 歩47分   , 築23年 2階建 ,             1階,4.1万円,-,4.1万円,-,1K,25.2m2
コーポ林,島根県出雲市塩冶神前６, ＪＲ山陰本線/出雲市駅 歩18分 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 ＪＲ山陰本線/西出雲駅 歩51分 , 築36年 3階建 ,             2階,3.5万円,-,7万円,3.5万円,2DK,39m2
フローレンス,島根県出雲市高松町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)余小路 歩6分   , 築30年 2階建 ,             1階,3.9万円,3200円,7.8万円,-,2DK,40.58m2
コーポあいらっく,島根県出雲市古志町, ＪＲ山陰本線/西出雲駅 車5分(2.0km)   , 築22年 2階建 ,             2階,3.6万円,2000円,3.6万円,-,1K,28.4m2
コーポあいらっく,島根県出雲市古志町, ＪＲ山陰本線/西出雲駅 車5分(2.0km)   , 築22年 2階建 ,             1階,3.7万円,2000円,3.7万円,-,1K,28.4m2
レジデンスSS,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 車5分(1.5km)   , 築32年 2階建 ,             2階,3.9万円,-,7.8万円,-,2DK,43.38m2
一畑電気鉄道松江線 大津町駅 2階建 築26年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩17分 一畑電気鉄道松江線/武志駅 歩17分 ＪＲ山陰本線/出雲市駅 車8分(3.0km) , 築26年 2階建 ,             1階,3.6万円,2500円,-,-,1K,20.81m2
ファンハウスフジハラ,島根県出雲市塩冶有原町３, ＪＲ山陰本線/出雲市駅 車3分(1.0km)   , 築31年 2階建 ,             2階,4万円,-,4万円,4万円,2K,30.3m2
カーサ21,島根県出雲市松寄下町, 一畑電車大社線/遙堪駅 歩32分   , 築31年 2階建 ,             1階,3.6万円,-,7.2万円,-,2DK,40m2
カーサ21,島根県出雲市松寄下町, 一畑電車大社線/遙堪駅 歩32分   , 築31年 2階建 ,             2階,3.6万円,-,7.2万円,-,2DK,40m2
Ｋハイツ,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩10分 ＪＲ山陰本線/出雲神西駅 歩26分  , 築23年 2階建 ,             2階,3.5万円,-,-,3.5万円,1K,26.25m2
レオパレス古志大橋北サイド,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)古志橋東詰 歩5分 ＪＲ山陰本線/出雲市駅 歩27分  , 築22年 3階建 ,             3階,3.7万円,6500円,-,-,1K,23.18m2
ラ・ミューズ出雲,島根県出雲市駅南町１, ＪＲ山陰本線/出雲市駅 歩4分 一畑電気鉄道松江線/電鉄出雲市駅 歩7分  , 築20年 10階建 ,             2階,9万円,5000円,18万円,9万円,3LDK,69.7m2
メゾンＭＫ－V,島根県出雲市小山町, 一畑電気鉄道松江線/電鉄出雲市駅 歩37分 ＪＲ山陰本線/出雲市駅 歩38分  , 築24年 3階建 ,             3階,3.6万円,-,3.6万円,-,1K,21.9m2
ぴーかん・はうす,島根県出雲市大津町, ＪＲ山陰本線/出雲市駅 歩22分   , 築36年 2階建 ,             1階,3.6万円,2000円,7.2万円,3.6万円,1K,25.53m2
ぴーかん・はうす,島根県出雲市大津町, ＪＲ山陰本線/出雲市駅 歩22分   , 築36年 2階建 ,             1階,3.7万円,2000円,7.4万円,3.7万円,1K,26.53m2
ぴーかん・はうす,島根県出雲市大津町, ＪＲ山陰本線/出雲市駅 歩22分   , 築36年 2階建 ,             2階,3.7万円,2000円,7.4万円,3.7万円,1K,26.53m2
ぴーかん・はうす,島根県出雲市大津町, ＪＲ山陰本線/出雲市駅 歩22分   , 築36年 2階建 ,             2階,3.7万円,2000円,7.4万円,3.7万円,1K,25.53m2
エムテーハウス,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩9分 ＪＲ山陰本線/出雲神西駅 歩36分 ＪＲ山陰本線/出雲市駅 歩56分 , 築25年 2階建 ,             2階,3.5万円,-,10.5万円,-,1DK,32.7m2
ロゼI,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)白枝 歩5分   , 築24年 2階建 ,             2階,3.8万円,-,3.8万円,3.8万円,1K,26.4m2
ＫＳアパート,島根県出雲市大津新崎町４, 一畑電気鉄道松江線/大津町駅 車2分(0.5km)   , 築24年 2階建 ,             2階,3.7万円,2000円,3.7万円,-,1K,30m2
ＫＳアパート,島根県出雲市大津新崎町４, 一畑電気鉄道松江線/大津町駅 車2分(0.5km)   , 築24年 2階建 ,             1階,3.7万円,2000円,3.7万円,-,1K,30m2
ＫＳアパート,島根県出雲市大津新崎町４, 一畑電気鉄道松江線/大津町駅 車2分(0.5km)   , 築24年 2階建 ,             1階,3.7万円,2000円,3.7万円,-,1K,30m2
ルーラルコート２１,島根県出雲市武志町, 一畑電気鉄道松江線/川跡駅 歩3分 ＪＲ山陰本線/出雲市駅 歩59分  , 築27年 2階建 ,             1階,4万円,1000円,4万円,-,1K,26.46m2
ハイグランディ知井宮,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩17分 ＪＲ山陰本線/出雲神西駅 歩33分  , 築26年 2階建 ,             1階,3.2万円,3000円,-,-,1K,23.6m2
ハイグランディ知井宮,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩17分 ＪＲ山陰本線/出雲神西駅 歩33分  , 築26年 2階建 ,             2階,3.2万円,3000円,-,-,1K,23.6m2
ハイム松下,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩27分   , 築46年 2階建 ,             1階,3.4万円,-,6.8万円,-,2K,38m2
ハイム松下,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩27分   , 築46年 2階建 ,             2階,3.5万円,-,7万円,-,2K,38m2
コーポアイリス,島根県出雲市医大南町３, ＪＲ山陰本線/出雲市駅 車7分(2.4km)   , 築35年 2階建 ,             2階,3.5万円,-,7万円,3.5万円,2K,30.3m2
コーポアイリス,島根県出雲市医大南町３, ＪＲ山陰本線/出雲市駅 車7分(2.4km)   , 築35年 2階建 ,             2階,3.5万円,-,7万円,3.5万円,2K,30.3m2
コーポアイリス,島根県出雲市医大南町３, ＪＲ山陰本線/出雲市駅 車7分(2.4km)   , 築35年 2階建 ,             1階,3.5万円,-,7万円,3.5万円,2K,30.3m2
ドリームハイツ,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 一畑電気鉄道松江線/武志駅 歩28分 一畑電気鉄道松江線/電鉄出雲市駅 歩31分 , 築33年 3階建 ,             2階,8.5万円,-,17万円,-,4DK,70.2m2
ＣＯＳＭＯI,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 車6分(2.4km)   , 築31年 2階建 ,             1階,3.8万円,-,7.6万円,3.8万円,1K,27.27m2
フォレストハウス,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 車4分(1.3km)   , 築33年 2階建 ,             2階,3.9万円,-,7.8万円,3.9万円,ワンルーム,23.18m2
フォレストハウス,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 車4分(1.3km)   , 築33年 2階建 ,             1階,3.9万円,-,7.8万円,3.9万円,ワンルーム,23.18m2
フォレストハウス,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 車4分(1.3km)   , 築33年 2階建 ,             2階,3.9万円,-,7.8万円,3.9万円,ワンルーム,23.18m2
ハンナンハイツ,島根県出雲市東園町, ＪＲ山陰本線/西出雲駅 歩44分   , 築24年 2階建 ,             2階,3.3万円,2000円,6.6万円,-,1K,26.35m2
ハンナンハイツ,島根県出雲市東園町, ＪＲ山陰本線/西出雲駅 歩44分   , 築24年 2階建 ,             2階,3.3万円,2000円,6.6万円,-,1K,26.35m2
クレセントハイツII,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩9分 ＪＲ山陰本線/出雲市駅 歩31分  , 築32年 2階建 ,             1階,3.5万円,-,7万円,-,1K,30.08m2
