a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
グリーンヒルズ　稲岡Ａ,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩14分   , 築17年 2階建 ,             2階,4.6万円,2500円,-,4.6万円,1LDK,42.37m2
グリーンヒルズ　稲岡Ａ,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩14分   , 築17年 2階建 ,             2階,4.6万円,2500円,-,4.6万円,1LDK,42.37m2
グリーンヒルズ　稲岡Ａ,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩14分   , 築17年 2階建 ,             2階,4.8万円,2500円,-,4.8万円,1LDK,42.37m2
リベルテ　B棟,島根県出雲市大津朝倉３, 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩24分 ＪＲ山陰本線/出雲市駅 歩25分 , 築18年 2階建 ,             1階,5.2万円,3500円,-,-,ワンルーム,34.73m2
リベルテ　B棟,島根県出雲市大津朝倉３, 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩24分 ＪＲ山陰本線/出雲市駅 歩25分 , 築18年 2階建 ,             1階,5.3万円,3500円,-,-,ワンルーム,32.8m2
リベルテ　B棟,島根県出雲市大津朝倉３, 一畑電気鉄道松江線/電鉄出雲市駅 歩23分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩24分 ＪＲ山陰本線/出雲市駅 歩25分 , 築18年 2階建 ,             2階,5.4万円,3500円,-,-,ワンルーム,34.73m2
サンガーデニア　A棟,島根県出雲市中野美保北１, 一畑電気鉄道松江線/大津町駅 歩24分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩25分 一畑電気鉄道松江線/電鉄出雲市駅 歩28分 , 築16年 3階建 ,             1階,6.7万円,3500円,-,6.7万円,2LDK,58.37m2
ＪＲ山陰本線 出雲市駅 2階建 築20年,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩29分   , 築20年 2階建 ,             1階,5.1万円,3000円,5.1万円,-,2DK,45.63m2
ＪＲ山陰本線 出雲市駅 2階建 築20年,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩29分   , 築20年 2階建 ,             2階,5.2万円,3000円,5.2万円,-,2DK,45.63m2
レオネクスト出雲の里,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス9分 (バス停)天神団地入口 歩9分 ＪＲ山陰本線/出雲市駅 歩30分  , 築8年 2階建 ,             2階,4.7万円,4500円,-,-,1K,34.31m2
グリーンヒルズ　稲岡Ｂ,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩13分   , 築17年 2階建 ,             1階,4.6万円,2500円,-,4.6万円,1LDK,44.18m2
グリーンヒルズ　稲岡Ｂ,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩13分   , 築17年 2階建 ,             1階,4.8万円,2500円,-,4.8万円,1LDK,44.18m2
フォルシュ　アンジュ　I,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩7分   , 築13年 2階建 ,             1階,4.6万円,2500円,-,4.6万円,1LDK,37.13m2
ライトアップル・Ｋ　Ｂ,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩21分   , 築21年 2階建 ,             1階,4.9万円,1700円,-,-,2DK,42.77m2
ＧＲＡＮＤＥ　ＡＭＯＵＲ　Ｓ　V棟,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 車6分(2.1km)   , 築16年 2階建 ,             1階,5万円,2000円,-,-,2DK,46.67m2
エレガンテ　フィオーレ,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)古志橋北詰前 歩3分   , 築12年 2階建 ,             1階,4.45万円,2800円,-,4.45万円,1K,30.96m2
シャルム中野Ｂ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩18分   , 築28年 2階建 ,             2階,5.2万円,2250円,-,-,3DK,55.89m2
シャルム中野Ｂ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩18分   , 築28年 2階建 ,             2階,5.3万円,2250円,-,-,2LDK,55.87m2
ピュアーズ９７Ｄ,島根県出雲市大津朝倉３, 一畑電気鉄道松江線/大津町駅 歩23分   , 築27年 2階建 ,             1階,5.5万円,2000円,-,-,2LDK,58.79m2
ジュネス・ノーヴァＢ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩15分   , 築19年 2階建 ,             1階,4.8万円,2850円,-,-,2DK,44.82m2
ジュネス・ノーヴァＢ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩15分   , 築19年 2階建 ,             1階,4.9万円,2850円,-,-,2DK,44.82m2
グランメールＣ,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 歩21分   , 築29年 2階建 ,             1階,5.5万円,2800円,-,-,3DK,55.87m2
Bell　View（ベルビュー）　B棟,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩22分 市内循環線（150円バス）右回/四絡東 歩5分 出雲大社線/四絡コミュニティセンター前 歩7分 , 築28年 2階建 ,             1階,5.3万円,2000円,-,-,3DK,59.14m2
Community Izumo 絆,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩13分 ＪＲ山陰本線/宍道駅 歩60分 一畑電気鉄道松江線/雲州平田駅 歩73分 , 築15年 1階建 ,             1階,6.3万円,-,6.3万円,-,2DK,51m2
Community Izumo 絆,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩13分 ＪＲ山陰本線/宍道駅 歩60分 一畑電気鉄道松江線/雲州平田駅 歩73分 , 築15年 1階建 ,             1階,6.3万円,-,6.3万円,-,2DK,51m2
ベレッツァ,島根県出雲市斐川町今在家, ＪＲ山陰本線/直江駅 歩18分   , 築27年 4階建 ,             2階,5.6万円,2000円,-,-,2LDK,40.85m2
Ｒ．Ｙ　II,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩28分   , 新築 2階建 ,             2階,7万円,2200円,-,7万円,2LDK,57.54m2
ジャックとまめの木,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩18分   , 築24年 2階建 ,             2階,5.3万円,2000円,-,-,2DK,54m2
ジャックとまめの木,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩18分   , 築24年 2階建 ,             1階,5.3万円,2000円,5.3万円,5.3万円,2DK,54m2
セパレシア,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩12分   , 築22年 1階建 ,             1階,5.5万円,-,11万円,5.5万円,2DK,49.26m2
セパレシア,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩12分   , 築22年 1階建 ,             1階,5.5万円,-,11万円,5.5万円,2DK,49.04m2
ウエストツリー　Ｄ棟,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス8分 (バス停)白枝 歩3分   , 築17年 2階建 ,             2階,6.9万円,2500円,-,-,3LDK,72.72m2
ナモワール,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 車3分(1.0km)   , 築18年 2階建 ,             1階,6.6万円,2000円,-,-,2LDK,62.13m2
シャーメゾンＣＯＬＺＡ　Ａ棟,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 歩35分   , 築3年 2階建 ,             2階,7万円,3000円,-,3.5万円,2LDK,60.69m2
ルピナスＫ＆Ｅ,島根県出雲市小山町, 一畑電車大社線/高浜駅 歩29分   , 築25年 2階建 ,             1階,4.6万円,2200円,-,-,2DK,46.92m2
ルピナスＫ＆Ｅ,島根県出雲市小山町, 一畑電車大社線/高浜駅 歩29分   , 築25年 2階建 ,             1階,4.6万円,2200円,-,-,2DK,46.92m2
ルピナスＫ＆Ｅ,島根県出雲市小山町, 一畑電車大社線/高浜駅 歩29分   , 築25年 2階建 ,             2階,5.1万円,2000円,-,-,2LDK,64.43m2
Neu Leben,島根県出雲市大津朝倉１, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩16分 一畑電気鉄道松江線/電鉄出雲市駅 歩22分 ＪＲ山陰本線/出雲市駅 歩24分 , 築19年 2階建 ,             2階,6.6万円,2500円,-,-,2LDK,54.07m2
Neu Leben,島根県出雲市大津朝倉１, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩16分 一畑電気鉄道松江線/電鉄出雲市駅 歩22分 ＪＲ山陰本線/出雲市駅 歩24分 , 築19年 2階建 ,             2階,6.8万円,2500円,-,3.4万円,2LDK,54.07m2
グラン　ブローテ・IＢ,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩13分   , 築18年 2階建 ,             1階,4.7万円,3300円,-,-,2DK,40.12m2
ゆめっくす新町,島根県出雲市今市町, ＪＲ山陰本線/出雲市駅 歩7分 一畑電気鉄道松江線/電鉄出雲市駅 歩9分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩17分 , 築8年 3階建 ,             1階,4.4万円,3000円,4.4万円,4.4万円,1K,25.16m2
ゆめっくす新町,島根県出雲市今市町, ＪＲ山陰本線/出雲市駅 歩7分 一畑電気鉄道松江線/電鉄出雲市駅 歩9分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩17分 , 築8年 3階建 ,             2階,4.5万円,3000円,4.5万円,4.5万円,1K,25.16m2
Ｃｈｅｒｒｙ　ｂｌｏｓｓｏｍＢ,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩8分   , 築15年 2階建 ,             1階,4.55万円,2500円,-,4.55万円,2DK,40.12m2
ワンピース　Ｃ棟,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 バス13分 (バス停)小山園前 歩2分   , 築12年 2階建 ,             1階,4.45万円,2800円,-,4.45万円,ワンルーム,32.9m2
クレストール中野Ａ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩17分   , 築27年 2階建 ,             2階,5万円,2250円,-,-,2LDK,60.19m2
ピュアーズ９６Ａ,島根県出雲市大津朝倉３, ＪＲ山陰本線/出雲市駅 歩29分   , 築28年 2階建 ,             1階,5.55万円,2200円,-,-,2LDK,51.79m2
ピュアーズ９６Ａ,島根県出雲市大津朝倉３, ＪＲ山陰本線/出雲市駅 歩29分   , 築28年 2階建 ,             1階,5.55万円,4200円,-,-,2LDK,51.79m2
レオパレスラクレI,島根県出雲市荻杼町, ＪＲ山陰本線/出雲市駅 バス13分 (バス停)ゆめタウン出雲前 歩11分   , 築15年 2階建 ,             2階,4.8万円,4500円,-,4.8万円,1K,31.05m2
第６吾郷ビル,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩35分   , 築28年 8階建 ,             5階,5.5万円,-,11万円,-,3DK,65.31m2
第６吾郷ビル,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩35分   , 築28年 8階建 ,             5階,6万円,-,12万円,-,2LDK,65.31m2
第６吾郷ビル,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 歩35分   , 築28年 8階建 ,             8階,8.9万円,-,26.7万円,-,2LDK,130.6m2
レオパレス出雲駅南,島根県出雲市駅南町１, ＪＲ山陰本線/出雲市駅 歩6分 一畑電気鉄道松江線/電鉄出雲市駅 歩8分  , 築18年 3階建 ,             3階,5.3万円,6500円,-,5.3万円,1K,23.18m2
パティオグランディキタムラI,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩5分   , 築23年 2階建 ,             1階,5.5万円,-,11万円,5.5万円,2DK,44.9m2
レオパレス長通川,島根県出雲市西平田町, 一畑電気鉄道松江線/雲州平田駅 歩14分   , 築17年 2階建 ,             2階,4.5万円,4500円,-,4.5万円,1K,23.18m2
エレガンテ・カーサ,島根県出雲市塩冶町南町４, ＪＲ山陰本線/出雲市駅 バス6分 (バス停)出雲工業高校前 歩9分   , 築13年 2階建 ,             1階,4.15万円,1700円,-,4.15万円,1K,26.11m2
グランデ・アムールS　2号棟,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩24分   , 築26年 2階建 ,             2階,5.1万円,-,10.2万円,5.1万円,2DK,42.54m2
ベルメゾン1号棟,島根県出雲市斐川町神氷, ＪＲ山陰本線/直江駅 歩20分   , 築34年 2階建 ,             2階,4.8万円,2000円,9.6万円,4.8万円,2LDK,54.44m2
グリーンシュタム１,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 歩31分   , 築25年 2階建 ,             1階,4.8万円,2800円,-,-,2LDK,58.79m2
グランデ・アムールＳ　１号棟,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩25分   , 築26年 2階建 ,             2階,5.1万円,-,10.2万円,5.1万円,2DK,42.54m2
グランデ・アムールＳ　１号棟,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩25分   , 築26年 2階建 ,             1階,5.1万円,-,10.2万円,5.1万円,2DK,42.54m2
リビングタウン渡橋　B棟,島根県出雲市渡橋町渡橋, ＪＲ山陰本線/出雲市駅 バス12分 (バス停)渡橋北 歩4分   , 築18年 2階建 ,             1階,5.3万円,3500円,-,5.3万円,ワンルーム,34.73m2
ウィズＣ,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩7分   , 築18年 2階建 ,             1階,4.5万円,1000円,-,-,2DK,48.95m2
グランデ稲岡I,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩16分 一畑電車大社線/高浜駅 歩19分 一畑電気鉄道松江線/川跡駅 歩24分 , 築25年 2階建 ,             1階,4.9万円,3000円,-,-,1LDK,48.8m2
プランタン　ソレイユＢ,島根県出雲市神西沖町, ＪＲ山陰本線/出雲神西駅 歩48分   , 築18年 2階建 ,             1階,4.8万円,1700円,-,-,2DK,50.22m2
コスモスガーデン　Ａ,島根県出雲市武志町, 一畑電気鉄道松江線/武志駅 歩11分   , 築17年 2階建 ,             2階,4.15万円,2500円,-,4.15万円,1LDK,42.37m2
プランタン　ソレイユＣ,島根県出雲市神西沖町, ＪＲ山陰本線/出雲市駅 バス18分 (バス停)さざなみ学園前 歩13分   , 築17年 2階建 ,             2階,4.3万円,1700円,-,4.3万円,2DK,49.95m2
プランタン　ソレイユＣ,島根県出雲市神西沖町, ＪＲ山陰本線/出雲市駅 バス18分 (バス停)さざなみ学園前 歩13分   , 築17年 2階建 ,             2階,4.5万円,1700円,-,-,2DK,49.95m2
ＡＬＬ　Ｆｉｎｅ,島根県出雲市武志町, 一畑電気鉄道松江線/武志駅 歩7分   , 築33年 4階建 ,             3階,5万円,-,5万円,-,2LDK,64.5m2
ＡＬＬ　Ｆｉｎｅ,島根県出雲市武志町, 一畑電気鉄道松江線/武志駅 歩7分   , 築33年 4階建 ,             4階,5万円,-,5万円,-,2LDK,64.5m2
ＡＬＬ　Ｆｉｎｅ,島根県出雲市武志町, 一畑電気鉄道松江線/武志駅 歩7分   , 築33年 4階建 ,             3階,5万円,-,5万円,-,2LDK,64.5m2
レオパレスラクレII,島根県出雲市中野町, ＪＲ山陰本線/出雲市駅 歩34分 一畑電気鉄道松江線/大津町駅 歩13分 ＪＲ山陰本線/出雲市駅 バス13分 (バス停)ゆめタウン出雲前 歩11分 , 築15年 2階建 ,             2階,4.3万円,4500円,-,4.3万円,1K,23.18m2
レオパレスメゾンレーブII,島根県出雲市大津朝倉３, ＪＲ山陰本線/出雲市駅 歩28分 ＪＲ山陰本線/出雲市駅 バス13分 (バス停)ゆめタウン出雲前 歩7分 一畑電気鉄道松江線/大津町駅 歩28分 , 築17年 2階建 ,             2階,4.5万円,4500円,-,-,1K,23.18m2
レオパレスシャルマン出雲,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス6分 (バス停)市民会館前 歩12分 ＪＲ山陰本線/出雲市駅 歩25分  , 築19年 2階建 ,             1階,4.8万円,4500円,-,4.8万円,1K,21.81m2
メゾンフォーレストＢ,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩9分 一畑電気鉄道松江線/川跡駅 歩19分 一畑電車大社線/高浜駅 歩26分 , 築23年 2階建 ,             1階,4.8万円,2000円,4.8万円,4.8万円,2DK,43.65m2
プランタン　ソレイユＥ,島根県出雲市神西沖町, ＪＲ山陰本線/出雲神西駅 歩48分   , 築17年 2階建 ,             1階,4.2万円,1700円,-,-,2DK,40.01m2
プランタン　ソレイユＥ,島根県出雲市神西沖町, ＪＲ山陰本線/出雲神西駅 歩48分   , 築17年 2階建 ,             2階,4.5万円,1700円,-,-,2DK,49.95m2
一畑電気鉄道松江線 雲州平田駅 2階建 築17年,島根県出雲市平田町, 一畑電気鉄道松江線/雲州平田駅 歩15分   , 築17年 2階建 ,             2階,4.3万円,2500円,4.3万円,-,1K,30m2
一畑電気鉄道松江線 雲州平田駅 2階建 築17年,島根県出雲市平田町, 一畑電気鉄道松江線/雲州平田駅 歩15分   , 築17年 2階建 ,             2階,4.3万円,2500円,4.3万円,-,1K,30m2
一畑電気鉄道松江線 雲州平田駅 2階建 築17年,島根県出雲市平田町, 一畑電気鉄道松江線/雲州平田駅 歩15分   , 築17年 2階建 ,             2階,4.3万円,2500円,4.3万円,-,1K,30m2
一畑電気鉄道松江線 雲州平田駅 2階建 築17年,島根県出雲市平田町, 一畑電気鉄道松江線/雲州平田駅 歩15分   , 築17年 2階建 ,             2階,4.4万円,2500円,4.4万円,-,1K,30m2
コーポメロディ,島根県出雲市今市町北本町４, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩14分 一畑電気鉄道松江線/電鉄出雲市駅 歩16分 ＪＲ山陰本線/出雲市駅 歩18分 , 築29年 3階建 ,             2階,5.8万円,-,11.6万円,5.8万円,2DK,55.02m2
レオパレスフローラ　Ｋ,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)神前一丁目 歩4分   , 築18年 2階建 ,             1階,4.9万円,4500円,-,4.9万円,1K,31.05m2
レオパレス白枝,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 バス20分 (バス停)ラピタはまやま店前 歩12分 ＪＲ山陰本線/出雲市駅 歩32分  , 築16年 2階建 ,             2階,4.3万円,4500円,-,4.3万円,1K,28.02m2
yフラットI,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩14分 一畑電気鉄道松江線/大津町駅 歩22分  , 築24年 2階建 ,             2階,4.5万円,3000円,6.75万円,-,2DK,45.78m2
レオパレスドミール,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩12分 一畑電気鉄道松江線/電鉄出雲市駅 歩13分  , 築18年 2階建 ,             2階,4.4万円,4500円,-,4.4万円,1K,21.81m2
グランドール北陽,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩11分 一畑電気鉄道松江線/川跡駅 歩23分 一畑電車大社線/高浜駅 歩27分 , 築29年 2階建 ,             2階,4.8万円,2000円,4.8万円,4.8万円,2DK,36.93m2
グランドール北陽,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩11分 一畑電気鉄道松江線/川跡駅 歩23分 一畑電車大社線/高浜駅 歩27分 , 築29年 2階建 ,             2階,5万円,2000円,15万円,5万円,2DK,36.93m2
グランドール北陽,島根県出雲市荻杼町, 一畑電気鉄道松江線/武志駅 歩11分 一畑電気鉄道松江線/川跡駅 歩23分 一畑電車大社線/高浜駅 歩27分 , 築29年 2階建 ,             1階,5万円,2000円,15万円,5万円,1LDK,36.93m2
エクセレンス,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)古志橋東詰 歩11分   , 築32年 2階建 ,             1階,5万円,-,15万円,5万円,2DK,40.72m2
エクセレンス,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)古志橋東詰 歩11分   , 築32年 2階建 ,             2階,5万円,-,15万円,5万円,2DK,40.72m2
エクセレンス,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)古志橋東詰 歩11分   , 築32年 2階建 ,             2階,5万円,-,15万円,5万円,2DK,40.72m2
エクセレンス,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)古志橋東詰 歩11分   , 築32年 2階建 ,             2階,5万円,-,15万円,5万円,2DK,40.72m2
エクセレンス,島根県出雲市古志町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)古志橋東詰 歩11分   , 築32年 2階建 ,             2階,5万円,-,15万円,5万円,2DK,40.72m2
サンルージュ,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩21分   , 築34年 2階建 ,             2階,4.8万円,-,4.8万円,4.8万円,2DK,42.56m2
シャルム中野Ａ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩19分   , 築28年 2階建 ,             1階,4.5万円,2250円,-,-,2K,47.59m2
シャルム中野Ａ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩19分   , 築28年 2階建 ,             2階,4.5万円,2250円,-,-,2K,46.84m2
シャルム中野Ａ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩19分   , 築28年 2階建 ,             2階,4.6万円,2500円,-,-,2K,47.59m2
レオパレスパストラル　ルーチェ,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩12分 一畑電気鉄道松江線/電鉄出雲市駅 歩14分  , 築19年 2階建 ,             2階,4.4万円,4500円,-,4.4万円,1K,21.81m2
プラスワン,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩20分   , 築23年 2階建 ,             1階,4万円,-,8万円,4万円,2DK,43.33m2
ビレッジハウス西出雲1号棟,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩5分 ＪＲ山陰本線/出雲神西駅 歩32分 ＪＲ山陰本線/出雲市駅 歩58分 , 築35年 5階建 ,             5階,4.1万円,-,-,-,3DK,53.08m2
ビレッジハウス西出雲1号棟,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩5分 ＪＲ山陰本線/出雲神西駅 歩32分 ＪＲ山陰本線/出雲市駅 歩58分 , 築35年 5階建 ,             2階,4.6万円,-,-,-,3DK,53.08m2
シャルム中野Ｃ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩18分   , 築28年 2階建 ,             2階,4.5万円,2500円,-,-,2DK,40.57m2
シャルム中野Ｃ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩18分   , 築28年 2階建 ,             2階,4.5万円,2500円,-,-,2DK,40.57m2
一畑電気鉄道松江線 大津町駅 2階建 築18年,島根県出雲市斐川町併川, 一畑電気鉄道松江線/大津町駅 車6分(2.2km) ＪＲ山陰本線/直江駅 車6分(2.2km) 一畑電気鉄道松江線/武志駅 車8分(3.2km) , 築18年 2階建 ,             1階,4.35万円,2750円,8.7万円,-,ワンルーム,28.98m2
一畑電気鉄道松江線 大津町駅 2階建 築18年,島根県出雲市斐川町併川, 一畑電気鉄道松江線/大津町駅 車6分(2.2km) ＪＲ山陰本線/直江駅 車6分(2.2km) 一畑電気鉄道松江線/武志駅 車8分(3.2km) , 築18年 2階建 ,             2階,4.65万円,2550円,9.3万円,-,1DK,33.43m2
一畑電気鉄道松江線 大津町駅 2階建 築18年,島根県出雲市斐川町併川, 一畑電気鉄道松江線/大津町駅 車6分(2.2km) ＪＲ山陰本線/直江駅 車6分(2.2km) 一畑電気鉄道松江線/武志駅 車8分(3.2km) , 築18年 2階建 ,             2階,4.65万円,2550円,9.3万円,-,1DK,33.43m2
レオパレストビス,島根県出雲市西林木町, 一畑電気鉄道松江線/川跡駅 歩10分 ＪＲ山陰本線/出雲市駅 バス10分 (バス停)川跡 歩9分  , 築15年 2階建 ,             1階,3.9万円,4500円,-,3.9万円,1K,23.61m2
ベルメゾン,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩21分 ＪＲ山陰本線/出雲市駅 歩21分  , 築21年 3階建 ,             1階,4.3万円,2000円,-,4.3万円,ワンルーム,30.97m2
ベルメゾン,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩21分 ＪＲ山陰本線/出雲市駅 歩21分  , 築21年 3階建 ,             3階,4.3万円,2000円,-,4.3万円,ワンルーム,30.97m2
ハイムやすらぎＤ,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩28分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分  , 築26年 2階建 ,             2階,4万円,-,12万円,-,2DK,44.07m2
ハイムやすらぎＤ,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩28分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分  , 築26年 2階建 ,             2階,4.5万円,-,13.5万円,-,2DK,44.07m2
ハイムやすらぎＣ,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 歩28分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分  , 築26年 2階建 ,             2階,4.5万円,-,13.5万円,-,2DK,44.07m2
ビレッジハウス西出雲2号棟,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩5分 ＪＲ山陰本線/出雲神西駅 歩32分 ＪＲ山陰本線/出雲市駅 歩58分 , 築35年 5階建 ,             4階,4.1万円,-,-,-,3DK,53.08m2
ビレッジハウス西出雲2号棟,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩5分 ＪＲ山陰本線/出雲神西駅 歩32分 ＪＲ山陰本線/出雲市駅 歩58分 , 築35年 5階建 ,             3階,4.5万円,-,-,-,3DK,53.08m2
モンシャトレー,島根県出雲市姫原町, ＪＲ山陰本線/出雲市駅 歩18分   , 築28年 2階建 ,             1階,4.3万円,1700円,8.6万円,-,2DK,40.04m2
モンシャトレー,島根県出雲市姫原町, ＪＲ山陰本線/出雲市駅 歩18分   , 築28年 2階建 ,             2階,4.4万円,1700円,8.8万円,-,2DK,40.04m2
モンシャトレー,島根県出雲市姫原町, ＪＲ山陰本線/出雲市駅 歩18分   , 築28年 2階建 ,             2階,4.4万円,1700円,8.8万円,-,2DK,40.04m2
チェリーコート,島根県出雲市芦渡町, ＪＲ山陰本線/西出雲駅 歩11分   , 築26年 2階建 ,             2階,4.5万円,2800円,-,-,2DK,47.23m2
ビレッジハウス斐川1号棟,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩13分 ＪＲ山陰本線/宍道駅 歩63分 ＪＲ山陰本線/直江駅 歩67分 , 築33年 5階建 ,             5階,4.2万円,-,-,-,3DK,53.08m2
メゾン21,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩14分   , 築23年 2階建 ,             2階,4.5万円,-,9万円,4.5万円,1K,26.49m2
シャルム中野Ｄ,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩18分   , 築28年 2階建 ,             2階,4.3万円,2500円,-,-,2DK,40.57m2
ベルメゾン２号棟,島根県出雲市斐川町神氷, ＪＲ山陰本線/直江駅 歩24分   , 築34年 2階建 ,             2階,4.5万円,-,9万円,4.5万円,1LDK,39.64m2
ベルメゾン２号棟,島根県出雲市斐川町神氷, ＪＲ山陰本線/直江駅 歩24分   , 築34年 2階建 ,             1階,4.5万円,-,9万円,4.5万円,1LDK,37.46m2
レオパレス北山,島根県出雲市武志町, 一畑電気鉄道松江線/川跡駅 歩10分 ＪＲ山陰本線/出雲市駅 バス10分 (バス停)川跡 歩10分  , 築16年 2階建 ,             1階,3.8万円,4500円,-,3.8万円,1K,23.61m2
一畑電車大社線 高浜駅 2階建 築27年,島根県出雲市大塚町, 一畑電車大社線/高浜駅 車5分(1.9km) ＪＲ山陰本線/出雲市駅 車6分(2.1km) 一畑電気鉄道松江線/電鉄出雲市駅 車7分(2.5km) , 築27年 2階建 ,             1階,4.6万円,2200円,-,-,2DK,44.34m2
